     1.000      1.000      1.000      1.000      1.000      0.000          *      1.132     -0.039     -0.102      0.010      0.957      0.000      0.043      0.000      1.000
     0.000      0.000      1.000      0.000      0.000      1.000          *     -0.043      1.394      0.014     -0.365      0.000      0.934      0.000      0.066      2.000
     1.000      1.000      0.000      0.000      0.000      0.000          *     -0.043      1.394      0.014     -0.365      0.006      0.994      0.000      0.000      2.000
     0.000      0.000      0.000      1.000      1.000      0.000          *     -0.210      0.006      1.209     -0.004      0.008      0.000      0.965      0.026      3.000
     0.000      1.000      1.000      0.000      0.000      0.000     80.230     -0.043      1.394      0.014     -0.365      0.013      0.987      0.000      0.000      2.000
     0.000      0.000      0.000      0.000      0.000      1.000     65.050      0.006     -0.055     -0.032      1.081      0.000      0.117      0.000      0.883      4.000
     1.000      1.000      0.000      1.000      1.000      1.000          *      1.132     -0.039     -0.102      0.010      0.580      0.000      0.420      0.000      1.000
     1.000      1.000      1.000      1.000      1.000      0.000     89.640      1.132     -0.039     -0.102      0.010      0.957      0.000      0.043      0.000      1.000
     1.000      0.000      0.000      0.000      0.000      0.000          *      0.006     -0.055     -0.032      1.081      0.000      0.307      0.000      0.693      4.000
     1.000      0.000      0.000      1.000      1.000      0.000          *     -0.210      0.006      1.209     -0.004      0.031      0.000      0.964      0.006      3.000
     0.000      0.000      0.000      0.000      0.000      1.000     51.420      0.006     -0.055     -0.032      1.081      0.000      0.117      0.000      0.883      4.000
     1.000      0.000      0.000      0.000      0.000      1.000          *      0.006     -0.055     -0.032      1.081      0.000      0.307      0.000      0.693      4.000
     1.000      0.000      1.000      0.000      1.000      0.000     52.570     -0.210      0.006      1.209     -0.004      0.048      0.000      0.951      0.001      3.000
     1.000      1.000      1.000      1.000      1.000      1.000          *      1.132     -0.039     -0.102      0.010      0.957      0.000      0.043      0.000      1.000
     1.000      1.000      0.000          *      1.000      1.000     63.360     -0.210      0.006      1.209     -0.004      0.407      0.000      0.593      0.000      3.000
     1.000      0.000      0.000      0.000      0.000      1.000          *      0.006     -0.055     -0.032      1.081      0.000      0.307      0.000      0.693      4.000
     0.000      0.000      1.000      0.000      1.000      0.000     59.880     -0.210      0.006      1.209     -0.004      0.014      0.000      0.982      0.004      3.000
     1.000      1.000      1.000      1.000      1.000      0.000          *      1.132     -0.039     -0.102      0.010      0.957      0.000      0.043      0.000      1.000
     0.000      0.000      0.000      0.000      0.000      0.000          *      0.006     -0.055     -0.032      1.081      0.000      0.117      0.000      0.883      4.000
     0.000      1.000      0.000      0.000      0.000      0.000          *     -0.043      1.394      0.014     -0.365      0.001      0.999      0.000      0.000      2.000
     0.000      0.000      0.000      0.000      1.000      0.000     97.560     -0.210      0.006      1.209     -0.004      0.001      0.000      0.763      0.236      3.000
     1.000      0.000      0.000      1.000      1.000      1.000          *     -0.210      0.006      1.209     -0.004      0.031      0.000      0.964      0.006      3.000
