0	1	1	1	1	1	71.05	1.054	0.002	-0.021	-0.035
0	1	1	1	1	1	68.89	1.054	0.002	-0.021	-0.035
1	0	1	1	0	0	.	-0.34	-0.115	1.604	-0.149
0	0	0	0	0	0	71	0.044	1.153	-0.217	0.02
1	1	0	0	1	0	.	-0.231	-0.006	0.003	1.234
1	1	1	1	1	0	59.3	1.054	0.002	-0.021	-0.035
1	1	0	1	1	0	.	1.054	0.002	-0.021	-0.035
1	1	1	1	1	0	66.62	1.054	0.002	-0.021	-0.035
1	0	0	1	1	1	.	-0.231	-0.006	0.003	1.234
1	1	0	1	1	0	60.2	1.054	0.002	-0.021	-0.035
1	1	1	1	1	0	63.59	1.054	0.002	-0.021	-0.035
0	0	0	1	0	0	63.82	0.044	1.153	-0.217	0.02
1	0	1	1	0	0	56.01	-0.34	-0.115	1.604	-0.149
0	0	0	0	0	0	.	0.044	1.153	-0.217	0.02
0	1	1	1	1	0	64.2	1.054	0.002	-0.021	-0.035
0	0	0	1	1	0	.	-0.231	-0.006	0.003	1.234
1	1	1	1	1	1	.	1.054	0.002	-0.021	-0.035
1	1	1	1	1	1	59.84	1.054	0.002	-0.021	-0.035
1	1	0	1	1	1	79.18	1.054	0.002	-0.021	-0.035
1	1	1	1	1	1	55.87	1.054	0.002	-0.021	-0.035
1	1	1	0	1	0	66.97	1.054	0.002	-0.021	-0.035
1	0	0	0	1	0	47.17	-0.231	-0.006	0.003	1.234
0	1	1	1	1	0	56.88	1.054	0.002	-0.021	-0.035
1	1	0	1	1	0	46.53	1.054	0.002	-0.021	-0.035
1	1	1	0	1	1	54.62	1.054	0.002	-0.021	-0.035
1	1	1	0	1	1	57.14	1.054	0.002	-0.021	-0.035
1	0	1	1	1	0	42.69	1.054	0.002	-0.021	-0.035
1	1	1	1	1	0	64.58	1.054	0.002	-0.021	-0.035
0	0	0	0	0	1	41.55	0.044	1.153	-0.217	0.02
1	1	1	1	1	1	.	1.054	0.002	-0.021	-0.035
1	0	1	1	0	1	.	-0.34	-0.115	1.604	-0.149
0	1	0	0	1	0	53.38	-0.231	-0.006	0.003	1.234
0	0	1	.	1	1	54.76	-0.34	-0.115	1.604	-0.149
1	1	0	1	1	0	55.78	1.054	0.002	-0.021	-0.035
1	1	1	0	1	0	.	1.054	0.002	-0.021	-0.035
1	1	0	1	0	1	44.57	-0.34	-0.115	1.604	-0.149
1	1	0	1	1	1	36.1	1.054	0.002	-0.021	-0.035
1	1	1	1	1	0	49.24	1.054	0.002	-0.021	-0.035
1	0	0	1	1	1	.	-0.231	-0.006	0.003	1.234
1	1	0	1	1	1	46.37	1.054	0.002	-0.021	-0.035
1	1	0	1	1	0	49.26	1.054	0.002	-0.021	-0.035
1	1	0	1	1	1	.	1.054	0.002	-0.021	-0.035
0	0	0	1	1	1	43.03	-0.231	-0.006	0.003	1.234
1	1	1	0	0	1	.	-0.34	-0.115	1.604	-0.149
1	0	1	1	1	0	71.11	1.054	0.002	-0.021	-0.035
0	1	1	1	1	1	52.19	1.054	0.002	-0.021	-0.035
1	1	1	.	1	1	.	1.054	0.002	-0.021	-0.035
0	0	1	1	1	1	.	1.054	0.002	-0.021	-0.035
0	1	1	1	1	0	48	1.054	0.002	-0.021	-0.035
0	1	0	0	0	1	40.28	0.044	1.153	-0.217	0.02
0	1	1	1	0	1	.	-0.34	-0.115	1.604	-0.149
0	0	0	0	1	0	51.63	-0.231	-0.006	0.003	1.234
0	0	0	0	0	1	36.56	0.044	1.153	-0.217	0.02
0	1	1	1	1	0	44.12	1.054	0.002	-0.021	-0.035
1	1	1	1	1	0	.	1.054	0.002	-0.021	-0.035
1	1	0	1	0	1	34.69	-0.34	-0.115	1.604	-0.149
0	1	1	1	0	0	56.13	-0.34	-0.115	1.604	-0.149
1	1	0	1	1	0	.	1.054	0.002	-0.021	-0.035
1	1	1	1	1	1	71.46	1.054	0.002	-0.021	-0.035
0	1	0	1	1	1	42.4	-0.231	-0.006	0.003	1.234
0	0	0	1	1	1	.	-0.231	-0.006	0.003	1.234
1	1	1	1	1	0	.	1.054	0.002	-0.021	-0.035
1	1	1	1	1	0	36.61	1.054	0.002	-0.021	-0.035
1	0	1	0	0	1	.	-0.34	-0.115	1.604	-0.149
1	1	1	1	1	1	42.74	1.054	0.002	-0.021	-0.035
1	0	1	1	1	1	39.46	1.054	0.002	-0.021	-0.035
1	1	0	1	1	0	.	1.054	0.002	-0.021	-0.035
0	1	1	1	1	1	.	1.054	0.002	-0.021	-0.035
