   897.000 1 1 1 1 1      0.956      0.000      0.000      0.044    1
   216.000 0 1 1 1 1      0.898      0.000      0.000      0.102    1
   158.000 1 1 0 1 1      0.613      0.270      0.000      0.117    1
    84.000 1 0 1 1 1      0.752      0.000      0.000      0.248    1
    60.000 1 1 1 0 1      0.648      0.000      0.000      0.352    1
    31.000 0 0 1 1 1      0.552      0.000      0.000      0.448    1
    11.000 1 1 * 1 1      0.904      0.040      0.000      0.055    1
    10.000 1 1 1 * 1      0.935      0.000      0.000      0.065    1
     6.000 1 * 1 1 1      0.938      0.000      0.000      0.062    1
     5.000 0 1 1 * 1      0.854      0.000      0.000      0.146    1
     4.000 0 * 1 1 1      0.860      0.000      0.000      0.140    1
     4.000 * 1 1 1 1      0.944      0.000      0.000      0.056    1
     4.000 0 1 * 1 1      0.771      0.113      0.000      0.116    1
     3.000 0 1 1 1 *      0.753      0.000      0.000      0.246    1
     3.000 0 1 1 * *      0.669      0.000      0.002      0.329    1
     2.000 1 1 0 * 1      0.531      0.316      0.000      0.152    1
     2.000 1 0 * 1 1      0.450      0.355      0.000      0.195    1
     2.000 1 1 * 0 1      0.478      0.182      0.000      0.341    1
     2.000 1 1 * * *      0.752      0.045      0.006      0.197    1
     2.000 1 1 1 * *      0.834      0.000      0.000      0.166    1
     2.000 1 * * * *      0.622      0.082      0.063      0.233    1
     1.000 1 * 0 1 1      0.449      0.429      0.000      0.122    1
     1.000 1 * 1 * 1      0.909      0.000      0.000      0.091    1
     1.000 1 1 0 * *      0.402      0.239      0.029      0.330    1
     1.000 1 1 1 1 *      0.883      0.000      0.000      0.117    1
     1.000 1 1 0 1 *      0.500      0.220      0.007      0.273    1
     1.000 0 1 * * *      0.522      0.103      0.037      0.337    1
     1.000 0 * * * *      0.303      0.130      0.286      0.280    1
     1.000 1 * 1 * *      0.775      0.000      0.004      0.221    1
     1.000 1 * * * 1      0.792      0.104      0.000      0.104    1
     1.000 0 1 * * 1      0.702      0.139      0.000      0.158    1
     1.000 1 0 1 * 1      0.669      0.000      0.000      0.331    1
    72.000 1 0 0 1 1      0.099      0.768      0.000      0.134    2
    66.000 0 1 0 1 1      0.343      0.495      0.000      0.161    2
    54.000 0 0 0 1 1      0.033      0.855      0.000      0.112    2
    36.000 1 1 0 0 1      0.143      0.537      0.000      0.320    2
    26.000 1 0 0 0 1      0.012      0.797      0.000      0.191    2
    22.000 0 0 0 0 1      0.004      0.844      0.000      0.152    2
    20.000 0 1 0 0 1      0.053      0.654      0.000      0.292    2
     3.000 1 * 0 0 1      0.081      0.660      0.000      0.259    2
     2.000 1 0 0 * 1      0.074      0.776      0.000      0.150    2
     2.000 0 0 0 * 1      0.025      0.852      0.000      0.124    2
     2.000 0 0 * 1 1      0.215      0.556      0.000      0.229    2
     1.000 0 0 * * 1      0.164      0.574      0.000      0.263    2
     1.000 0 0 * 0 1      0.028      0.620      0.000      0.351    2
   184.000 0 0 0 0 0      0.000      0.000      0.966      0.034    3
    87.000 1 0 0 0 0      0.000      0.000      0.883      0.117    3
    49.000 0 0 0 1 0      0.000      0.000      0.775      0.225    3
    25.000 0 1 0 0 0      0.000      0.000      0.538      0.462    3
     4.000 0 * 0 0 0      0.000      0.000      0.915      0.085    3
     2.000 0 0 0 * 0      0.000      0.000      0.926      0.074    3
     2.000 1 * 0 0 0      0.000      0.000      0.739      0.261    3
     2.000 1 0 0 0 *      0.003      0.198      0.664      0.136    3
     1.000 * 0 0 0 0      0.000      0.000      0.939      0.061    3
     1.000 1 0 0 * *      0.033      0.351      0.421      0.194    3
     1.000 0 * 0 1 0      0.000      0.000      0.565      0.435    3
     1.000 0 * * 0 0      0.000      0.000      0.780      0.220    3
     1.000 1 0 * 0 0      0.000      0.000      0.714      0.286    3
     1.000 0 0 0 0 *      0.000      0.090      0.863      0.047    3
     1.000 0 0 * * 0      0.000      0.000      0.807      0.193    3
     1.000 1 0 0 * 0      0.000      0.000      0.769      0.231    3
     1.000 0 0 0 * *      0.006      0.206      0.702      0.086    3
     1.000 0 0 * 0 0      0.000      0.000      0.904      0.096    3
    67.000 1 1 1 1 0      0.000      0.000      0.001      0.999    4
    48.000 0 1 1 1 0      0.000      0.000      0.003      0.997    4
    45.000 1 0 1 1 0      0.000      0.000      0.018      0.982    4
    41.000 1 1 1 0 0      0.000      0.000      0.006      0.994    4
    36.000 1 0 0 1 0      0.000      0.000      0.477      0.523    4
    34.000 1 1 0 1 0      0.000      0.000      0.036      0.964    4
    30.000 0 1 1 0 1      0.428      0.000      0.000      0.572    4
    30.000 1 0 1 0 0      0.000      0.000      0.133      0.867    4
    26.000 1 1 0 0 0      0.000      0.000      0.235      0.765    4
    24.000 0 1 1 0 0      0.000      0.000      0.023      0.977    4
    22.000 0 1 0 1 0      0.000      0.000      0.123      0.877    4
    21.000 0 0 1 0 0      0.000      0.000      0.368      0.632    4
    20.000 0 0 1 1 0      0.000      0.000      0.066      0.934    4
    13.000 1 0 1 0 1      0.206      0.000      0.000      0.794    4
     5.000 0 0 1 0 1      0.095      0.000      0.000      0.905    4
     3.000 1 1 1 * 0      0.000      0.000      0.003      0.997    4
     2.000 1 1 * * 0      0.000      0.000      0.043      0.957    4
     1.000 0 1 0 * 0      0.000      0.000      0.339      0.661    4
     1.000 1 0 * 1 0      0.000      0.000      0.232      0.768    4
     1.000 1 * 1 0 *      0.303      0.000      0.025      0.672    4
     1.000 1 * 1 0 0      0.000      0.000      0.055      0.945    4
     1.000 1 * 0 1 0      0.000      0.000      0.255      0.745    4
     1.000 1 1 0 0 *      0.081      0.302      0.103      0.515    4
