0	1	1	1	1	1	71.05	0.898	0	0.102	0	1
0	1	1	1	1	1	68.89	0.898	0	0.102	0	1
1	0	1	1	0	0	.	0	0.018	0.982	0	3
0	0	0	0	0	0	71	0	0.966	0.034	0	2
1	1	0	0	1	0	.	0.143	0	0.32	0.537	4
1	1	1	1	1	0	59.3	0.956	0	0.044	0	1
1	1	0	1	1	0	.	0.613	0	0.117	0.27	1
1	1	1	1	1	0	66.62	0.956	0	0.044	0	1
1	0	0	1	1	1	.	0.099	0	0.134	0.768	4
1	1	0	1	1	0	60.2	0.613	0	0.117	0.27	1
1	1	1	1	1	0	63.59	0.956	0	0.044	0	1
0	0	0	1	0	0	63.82	0	0.775	0.225	0	2
1	0	1	1	0	0	56.01	0	0.018	0.982	0	3
0	0	0	0	0	0	.	0	0.966	0.034	0	2
0	1	1	1	1	0	64.2	0.898	0	0.102	0	1
0	0	0	1	1	0	.	0.033	0	0.112	0.855	4
1	1	1	1	1	1	.	0.956	0	0.044	0	1
1	1	1	1	1	1	59.84	0.956	0	0.044	0	1
1	1	0	1	1	1	79.18	0.613	0	0.117	0.27	1
1	1	1	1	1	1	55.87	0.956	0	0.044	0	1
1	1	1	0	1	0	66.97	0.648	0	0.352	0	1
1	0	0	0	1	0	47.17	0.012	0	0.191	0.797	4
0	1	1	1	1	0	56.88	0.898	0	0.102	0	1
1	1	0	1	1	0	46.53	0.613	0	0.117	0.27	1
1	1	1	0	1	1	54.62	0.648	0	0.352	0	1
1	1	1	0	1	1	57.14	0.648	0	0.352	0	1
1	0	1	1	1	0	42.69	0.752	0	0.248	0	1
1	1	1	1	1	0	64.58	0.956	0	0.044	0	1
0	0	0	0	0	1	41.55	0	0.966	0.034	0	2
1	1	1	1	1	1	.	0.956	0	0.044	0	1
1	0	1	1	0	1	.	0	0.018	0.982	0	3
0	1	0	0	1	0	53.38	0.053	0	0.292	0.654	4
0	0	1	.	1	1	54.76	0.45	0	0.55	0	3
1	1	0	1	1	0	55.78	0.613	0	0.117	0.27	1
